Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;ANSWER;Text;Likert;Source;Source_topic;ShowProgressBar
22;1642096324727;13/01/2022 17:52:04;1642096324466;2;13/01/2022 19:52:04;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;7;1;10;Screen 8;Zone3;response_rating_scale_likert_active;6710;;;Jokseenkin kiinnostavana;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>";Palaako peltoviljely pääosin kangasmaille?;1
23;1642096331489;13/01/2022 17:52:11;1642096331181;2;13/01/2022 19:52:11;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;7;1;11;Screen 9;Zone3;response_rating_scale_likert_active;6692;;;Hiukan uteliaasti;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>";Palaako peltoviljely pääosin kangasmaille?;1
24;1642096477284;13/01/2022 17:54:37;1642096476762;2;13/01/2022 19:54:36;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;10;2;1;Screen 1;advancementZone;continue_button;145497;;;;;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.amnesty.fi/turvetuotanto-on-ajettava-alas-oikeudenmukaisesti/"" target=""_blank""> Turvetuotanto on ajettava alas – oikeudenmukaisesti</a><a href=";Turvetuotanto on ajettava alas – oikeudenmukaisesti;1
25;1642096481554;13/01/2022 17:54:41;1642096481318;2;13/01/2022 19:54:41;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;10;2;2;Screen 5;Zone8;response_button_image;4500;;;SAM_1.7.PNG;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.amnesty.fi/turvetuotanto-on-ajettava-alas-oikeudenmukaisesti/"" target=""_blank""> Turvetuotanto on ajettava alas – oikeudenmukaisesti</a><a href=";Turvetuotanto on ajettava alas – oikeudenmukaisesti;1
26;1642096484166;13/01/2022 17:54:44;1642096483911;2;13/01/2022 19:54:43;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;10;2;3;Screen 6;Zone18;response_button_image;2539;;;SAM_2.1.PNG;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.amnesty.fi/turvetuotanto-on-ajettava-alas-oikeudenmukaisesti/"" target=""_blank""> Turvetuotanto on ajettava alas – oikeudenmukaisesti</a><a href=";Turvetuotanto on ajettava alas – oikeudenmukaisesti;1
27;1642096571017;13/01/2022 17:56:11;1642096570683;2;13/01/2022 19:56:10;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;10;2;4;Screen 3;Zone3;response_rating_scale_likert;86729;;;Ei epäluotettava eikä luotettava;;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.amnesty.fi/turvetuotanto-on-ajettava-alas-oikeudenmukaisesti/"" target=""_blank""> Turvetuotanto on ajettava alas – oikeudenmukaisesti</a><a href=";Turvetuotanto on ajettava alas – oikeudenmukaisesti;1
28;1642096571140;13/01/2022 17:56:11;1642096570686;2;13/01/2022 19:56:10;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;10;2;4;Screen 3;Zone5;response_text_area;86729;;;Amnesty on tietääkseni luotettava, mutta blogin kirjoittajalla ei näyttänyt olevan alan tutkintoa.;;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.amnesty.fi/turvetuotanto-on-ajettava-alas-oikeudenmukaisesti/"" target=""_blank""> Turvetuotanto on ajettava alas – oikeudenmukaisesti</a><a href=";Turvetuotanto on ajettava alas – oikeudenmukaisesti;1
29;1642096571140;13/01/2022 17:56:11;1642096570686;2;13/01/2022 19:56:10;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;10;2;4;Screen 3;Zone6;continue_button;86729;;;;;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.amnesty.fi/turvetuotanto-on-ajettava-alas-oikeudenmukaisesti/"" target=""_blank""> Turvetuotanto on ajettava alas – oikeudenmukaisesti</a><a href=";Turvetuotanto on ajettava alas – oikeudenmukaisesti;1
30;1642096579952;13/01/2022 17:56:19;1642096579661;2;13/01/2022 19:56:19;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;10;2;5;Screen 10;Zone3;response_rating_scale_likert_active;8955;;;Vähän;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.amnesty.fi/turvetuotanto-on-ajettava-alas-oikeudenmukaisesti/"" target=""_blank""> Turvetuotanto on ajettava alas – oikeudenmukaisesti</a><a href=";Turvetuotanto on ajettava alas – oikeudenmukaisesti;1
31;1642096584567;13/01/2022 17:56:24;1642096584229;2;13/01/2022 19:56:24;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;10;2;6;Screen 4;Zone3;response_rating_scale_likert_active;4544;;;Neutraali;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.amnesty.fi/turvetuotanto-on-ajettava-alas-oikeudenmukaisesti/"" target=""_blank""> Turvetuotanto on ajettava alas – oikeudenmukaisesti</a><a href=";Turvetuotanto on ajettava alas – oikeudenmukaisesti;1
32;1642096587879;13/01/2022 17:56:27;1642096587753;2;13/01/2022 19:56:27;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;10;2;7;Screen 2;Zone3;response_rating_scale_likert_active;3495;;;Luultavasti en;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.amnesty.fi/turvetuotanto-on-ajettava-alas-oikeudenmukaisesti/"" target=""_blank""> Turvetuotanto on ajettava alas – oikeudenmukaisesti</a><a href=";Turvetuotanto on ajettava alas – oikeudenmukaisesti;1
33;1642096599071;13/01/2022 17:56:39;1642096598784;2;13/01/2022 19:56:38;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;10;2;8;Screen 11;Zone3;response_rating_scale_likert_active;11001;;;En osaa sanoa;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.amnesty.fi/turvetuotanto-on-ajettava-alas-oikeudenmukaisesti/"" target=""_blank""> Turvetuotanto on ajettava alas – oikeudenmukaisesti</a><a href=";Turvetuotanto on ajettava alas – oikeudenmukaisesti;1
34;1642096603653;13/01/2022 17:56:43;1642096603361;2;13/01/2022 19:56:43;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;10;2;9;Screen 7;Zone3;response_rating_scale_likert_active;4550;;;Ei ollenkaan tuttu;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.amnesty.fi/turvetuotanto-on-ajettava-alas-oikeudenmukaisesti/"" target=""_blank""> Turvetuotanto on ajettava alas – oikeudenmukaisesti</a><a href=";Turvetuotanto on ajettava alas – oikeudenmukaisesti;1
35;1642096605900;13/01/2022 17:56:45;1642096605651;2;13/01/2022 19:56:45;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;10;2;10;Screen 8;Zone3;response_rating_scale_likert_active;2267;;;Hiukan kiinnostavana;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.amnesty.fi/turvetuotanto-on-ajettava-alas-oikeudenmukaisesti/"" target=""_blank""> Turvetuotanto on ajettava alas – oikeudenmukaisesti</a><a href=";Turvetuotanto on ajettava alas – oikeudenmukaisesti;1
36;1642096609030;13/01/2022 17:56:49;1642096608885;2;13/01/2022 19:56:48;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;10;2;11;Screen 9;Zone3;response_rating_scale_likert_active;3205;;;Hiukan uteliaasti;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.amnesty.fi/turvetuotanto-on-ajettava-alas-oikeudenmukaisesti/"" target=""_blank""> Turvetuotanto on ajettava alas – oikeudenmukaisesti</a><a href=";Turvetuotanto on ajettava alas – oikeudenmukaisesti;1
