Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;ANSWER;Image
49;1641971995405;12/01/2022 07:19:55;1641971995363;2;12/01/2022 09:19:55;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;73;14;3;Screen 3;buttonB;response_keyboard;603.7999999998137;;;S;1;1;0;0;;;;2;2;task2;S;bigHsmallS.png
50;1641971997389;12/01/2022 07:19:57;1641971997358;2;12/01/2022 09:19:57;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;88;15;1;Screen 1;fixation;fixation;2001.8840000000055;;;;;0;1;0;;;;2;2;task2;H;bigHsmallH.png
51;1641971997640;12/01/2022 07:19:57;1641971997609;2;12/01/2022 09:19:57;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;88;15;2;Screen 2;advancementZone;timelimit_screen;250.20100000000093;;;;;0;1;0;;;1;2;2;task2;H;bigHsmallH.png
52;1641971998257;12/01/2022 07:19:58;1641971998220;2;12/01/2022 09:19:58;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;88;15;3;Screen 3;buttonB;response_keyboard;608.1000000005588;;;H;1;1;0;0;;;;2;2;task2;H;bigHsmallH.png
53;1641972000240;12/01/2022 07:20:00;1641972000211;2;12/01/2022 09:20:00;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;84;16;1;Screen 1;fixation;fixation;2001.646000000008;;;;;0;1;0;;;;2;2;task2;H;bigHsmallH.png
54;1641972000511;12/01/2022 07:20:00;1641972000461;2;12/01/2022 09:20:00;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;84;16;2;Screen 2;advancementZone;timelimit_screen;250.40499999999884;;;;;0;1;0;;;1;2;2;task2;H;bigHsmallH.png
55;1641972002059;12/01/2022 07:20:02;1641972002019;2;12/01/2022 09:20:02;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;84;16;3;Screen 3;buttonB;response_keyboard;1554.199999999255;;;H;1;1;0;0;;;;2;2;task2;H;bigHsmallH.png
56;1641972004053;12/01/2022 07:20:04;1641972004014;2;12/01/2022 09:20:04;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;66;17;1;Screen 1;fixation;fixation;2001.69200000001;;;;;0;1;0;;;;2;2;task2;S;bigHsmallS.png
57;1641972004304;12/01/2022 07:20:04;1641972004264;2;12/01/2022 09:20:04;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;66;17;2;Screen 2;advancementZone;timelimit_screen;250.1119999999937;;;;;0;1;0;;;1;2;2;task2;S;bigHsmallS.png
58;1641972005412;12/01/2022 07:20:05;1641972005379;2;12/01/2022 09:20:05;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;66;17;3;Screen 3;buttonB;response_keyboard;1112;;;S;1;1;0;0;;;;2;2;task2;S;bigHsmallS.png
59;1641972007413;12/01/2022 07:20:07;1641972007368;2;12/01/2022 09:20:07;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;125;18;1;Screen 1;fixation;fixation;2001.8650000000052;;;;;0;1;0;;;;2;2;task2;H;bigSsmallH.png
60;1641972007663;12/01/2022 07:20:07;1641972007618;2;12/01/2022 09:20:07;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;125;18;2;Screen 2;advancementZone;timelimit_screen;250.3509999999951;;;;;0;1;0;;;1;2;2;task2;H;bigSsmallH.png
61;1641972009088;12/01/2022 07:20:09;1641972009060;2;12/01/2022 09:20:09;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;125;18;3;Screen 3;buttonB;response_keyboard;1439.4000000003725;;;H;1;1;0;0;;;;2;2;task2;H;bigSsmallH.png
62;1641972011093;12/01/2022 07:20:11;1641972011053;2;12/01/2022 09:20:11;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;87;19;1;Screen 1;fixation;fixation;2001.2359999999899;;;;;0;1;0;;;;2;2;task2;H;bigHsmallH.png
63;1641972011343;12/01/2022 07:20:11;1641972011304;2;12/01/2022 09:20:11;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;87;19;2;Screen 2;advancementZone;timelimit_screen;250.6810000000114;;;;;0;1;0;;;1;2;2;task2;H;bigHsmallH.png
64;1641972011968;12/01/2022 07:20:11;1641972011924;2;12/01/2022 09:20:11;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;87;19;3;Screen 3;buttonB;response_keyboard;616.1000000005588;;;H;1;1;0;0;;;;2;2;task2;H;bigHsmallH.png
65;1641972013968;12/01/2022 07:20:13;1641972013922;2;12/01/2022 09:20:13;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;77;20;1;Screen 1;fixation;fixation;2001.5770000000048;;;;;0;1;0;;;;2;2;task2;S;bigHsmallS.png
66;1641972014206;12/01/2022 07:20:14;1641972014173;2;12/01/2022 09:20:14;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;77;20;2;Screen 2;advancementZone;timelimit_screen;250.41599999999744;;;;;0;1;0;;;1;2;2;task2;S;bigHsmallS.png
67;1641972015452;12/01/2022 07:20:15;1641972015411;2;12/01/2022 09:20:15;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;77;20;3;Screen 3;buttonB;response_keyboard;1234.7999999998137;;;S;1;1;0;0;;;;2;2;task2;S;bigHsmallS.png
68;1641972017441;12/01/2022 07:20:17;1641972017409;2;12/01/2022 09:20:17;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;85;21;1;Screen 1;fixation;fixation;2001.4599999999919;;;;;0;1;0;;;;2;2;task2;H;bigHsmallH.png
69;1641972017699;12/01/2022 07:20:17;1641972017659;2;12/01/2022 09:20:17;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;85;21;2;Screen 2;advancementZone;timelimit_screen;250.23600000000442;;;;;0;1;0;;;1;2;2;task2;H;bigHsmallH.png
70;1641972018806;12/01/2022 07:20:18;1641972018764;2;12/01/2022 09:20:18;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;85;21;3;Screen 3;buttonB;response_keyboard;1101.2000000001863;;;H;1;1;0;0;;;;2;2;task2;H;bigHsmallH.png
71;1641972020799;12/01/2022 07:20:20;1641972020762;2;12/01/2022 09:20:20;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;114;22;1;Screen 1;fixation;fixation;2002.0249999999942;;;;;0;1;0;;;;2;2;task2;H;bigSsmallH.png
72;1641972021049;12/01/2022 07:20:21;1641972021013;2;12/01/2022 09:20:21;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;114;22;2;Screen 2;advancementZone;timelimit_screen;249.86100000000442;;;;;0;1;0;;;1;2;2;task2;H;bigSsmallH.png
73;1641972021989;12/01/2022 07:20:21;1641972021948;2;12/01/2022 09:20:21;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;114;22;3;Screen 3;buttonB;response_keyboard;931.0999999996275;;;H;1;1;0;0;;;;2;2;task2;H;bigSsmallH.png
74;1641972023978;12/01/2022 07:20:23;1641972023948;2;12/01/2022 09:20:23;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;97;23;1;Screen 1;fixation;fixation;2001.7660000000033;;;;;0;1;0;;;;2;2;task2;S;bigSsmallS.png
75;1641972024235;12/01/2022 07:20:24;1641972024198;2;12/01/2022 09:20:24;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;97;23;2;Screen 2;advancementZone;timelimit_screen;250.30599999999686;;;;;0;1;0;;;1;2;2;task2;S;bigSsmallS.png
76;1641972025219;12/01/2022 07:20:25;1641972025188;2;12/01/2022 09:20:25;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;97;23;3;Screen 3;buttonB;response_keyboard;986.7000000001863;;;S;1;1;0;0;;;;2;2;task2;S;bigSsmallS.png
77;1641972027222;12/01/2022 07:20:27;1641972027184;2;12/01/2022 09:20:27;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;102;24;1;Screen 1;fixation;fixation;2002.0380000000005;;;;;0;1;0;;;;2;2;task2;S;bigSsmallS.png
78;1641972027468;12/01/2022 07:20:27;1641972027433;2;12/01/2022 09:20:27;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;102;24;2;Screen 2;advancementZone;timelimit_screen;249.74799999999232;;;;;0;1;0;;;1;2;2;task2;S;bigSsmallS.png
79;1641972028488;12/01/2022 07:20:28;1641972028460;2;12/01/2022 09:20:28;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;102;24;3;Screen 3;buttonB;response_keyboard;1023.2999999998137;;;S;1;1;0;0;;;;2;2;task2;S;bigSsmallS.png
80;1641972030482;12/01/2022 07:20:30;1641972030453;2;12/01/2022 09:20:30;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;92;25;1;Screen 1;fixation;fixation;2002.0980000000127;;;;;0;1;0;;;;2;2;task2;H;bigHsmallH.png
81;1641972030736;12/01/2022 07:20:30;1641972030703;2;12/01/2022 09:20:30;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;92;25;2;Screen 2;advancementZone;timelimit_screen;249.73500000000058;;;;;0;1;0;;;1;2;2;task2;H;bigHsmallH.png
82;1641972031549;12/01/2022 07:20:31;1641972031508;2;12/01/2022 09:20:31;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;92;25;3;Screen 3;buttonB;response_keyboard;801.7999999998137;;;H;1;1;0;0;;;;2;2;task2;H;bigHsmallH.png
83;1641972033538;12/01/2022 07:20:33;1641972033506;2;12/01/2022 09:20:33;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;68;26;1;Screen 1;fixation;fixation;2001.2250000000058;;;;;0;1;0;;;;2;2;task2;S;bigHsmallS.png
84;1641972033799;12/01/2022 07:20:33;1641972033757;2;12/01/2022 09:20:33;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;68;26;2;Screen 2;advancementZone;timelimit_screen;250.24099999999453;;;;;0;1;0;;;1;2;2;task2;S;bigHsmallS.png
85;1641972034862;12/01/2022 07:20:34;1641972034812;2;12/01/2022 09:20:34;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;68;26;3;Screen 3;buttonB;response_keyboard;1051.5;;;S;1;1;0;0;;;;2;2;task2;S;bigHsmallS.png
86;1641972036842;12/01/2022 07:20:36;1641972036808;2;12/01/2022 09:20:36;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;96;27;1;Screen 1;fixation;fixation;2001.5800000000017;;;;;0;1;0;;;;2;2;task2;S;bigSsmallS.png
87;1641972037098;12/01/2022 07:20:37;1641972037058;2;12/01/2022 09:20:37;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;96;27;2;Screen 2;advancementZone;timelimit_screen;250.2390000000014;;;;;0;1;0;;;1;2;2;task2;S;bigSsmallS.png
88;1641972038147;12/01/2022 07:20:38;1641972038116;2;12/01/2022 09:20:38;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;96;27;3;Screen 3;buttonB;response_keyboard;1053.7000000001863;;;S;1;1;0;0;;;;2;2;task2;S;bigSsmallS.png
89;1641972040154;12/01/2022 07:20:40;1641972040111;2;12/01/2022 09:20:40;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;107;28;1;Screen 1;fixation;fixation;2002.0239999999903;;;;;0;1;0;;;;2;2;task2;S;bigSsmallS.png
90;1641972040404;12/01/2022 07:20:40;1641972040361;2;12/01/2022 09:20:40;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;107;28;2;Screen 2;advancementZone;timelimit_screen;250.09100000000035;;;;;0;1;0;;;1;2;2;task2;S;bigSsmallS.png
91;1641972041061;12/01/2022 07:20:41;1641972041012;2;12/01/2022 09:20:41;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;107;28;3;Screen 3;buttonB;response_keyboard;647.2000000001863;;;S;1;1;0;0;;;;2;2;task2;S;bigSsmallS.png
92;1641972043033;12/01/2022 07:20:43;1641972042997;2;12/01/2022 09:20:42;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;70;29;1;Screen 1;fixation;fixation;2001.6779999999999;;;;;0;1;0;;;;2;2;task2;S;bigHsmallS.png
93;1641972043296;12/01/2022 07:20:43;1641972043248;2;12/01/2022 09:20:43;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;70;29;2;Screen 2;advancementZone;timelimit_screen;249.79200000000128;;;;;0;1;0;;;1;2;2;task2;S;bigHsmallS.png
94;1641972043957;12/01/2022 07:20:43;1641972043916;2;12/01/2022 09:20:43;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;70;29;3;Screen 3;buttonB;response_keyboard;664;;;S;1;1;0;0;;;;2;2;task2;S;bigHsmallS.png
95;1641972045948;12/01/2022 07:20:45;1641972045915;2;12/01/2022 09:20:45;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;101;30;1;Screen 1;fixation;fixation;2001.1549999999988;;;;;0;1;0;;;;2;2;task2;S;bigSsmallS.png
96;1641972046207;12/01/2022 07:20:46;1641972046167;2;12/01/2022 09:20:46;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;101;30;2;Screen 2;advancementZone;timelimit_screen;250.26499999999942;;;;;0;1;0;;;1;2;2;task2;S;bigSsmallS.png
97;1641972046941;12/01/2022 07:20:46;1641972046845;2;12/01/2022 09:20:46;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;101;30;3;Screen 3;buttonB;response_keyboard;673.7999999998137;;;S;1;1;0;0;;;;2;2;task2;S;bigSsmallS.png
98;1641972048878;12/01/2022 07:20:48;1641972048835;2;12/01/2022 09:20:48;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;82;31;1;Screen 1;fixation;fixation;2001.5250000000087;;;;;0;1;0;;;;2;2;task2;H;bigHsmallH.png
