Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;Validity;Validity-text;Validity-quantised;study-comment;END QUESTIONNAIRE
1;1639745179863;17/12/2021 12:46:19;1639745179705;2;17/12/2021 14:46:19;55551;22;questionnaire-81k4;;18091488;BLIND;5336084;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.1;1440x900;1140x731;Openminded Chunk;Validity check self report (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;-;21988
1;1639594768179;15/12/2021 18:59:28;1639594768209;2;15/12/2021 20:59:28;55551;22;questionnaire-81k4;;18032050;BLIND;5320807;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1920x1080;1920x899;Openminded Chunk;Validity check self report (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;26110
1;1639473142503;14/12/2021 09:12:22;1639473142231;2;14/12/2021 11:12:22;55551;22;questionnaire-81k4;;17984491;BLIND;5305503;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1280x720;1280x593;Openminded Chunk;Validity check self report (Finnish);5;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;Osallistuminen oli mielenkiintoista.;133065
1;1639242486847;11/12/2021 17:08:06;1639242486397;2;11/12/2021 19:08:06;55551;22;questionnaire-81k4;;17942339;BLIND;5292007;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1920x1080;960x485;Openminded Chunk;Validity check self report (Finnish);5;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;23042
1;1639211864468;11/12/2021 08:37:44;1639211861068;2;11/12/2021 10:37:41;55551;22;questionnaire-81k4;;17936930;BLIND;5290491;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.93;1536x864;1536x714;Openminded Chunk;Validity check self report (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;"homma meni rasituskokeeksi; mutta oliko joku huomannut kohtaa, jossa oli merkitty vastausvaihtoehtojen määräksi 7 vaikka niitä oli vain 6?

missä määrin ilmoitettu ikä ja huomaavaisuuden taso/kestävyys tulevat korreloitumaan.... voiko vastausten tasosta tehdä päättelyä kokeen lopussa kun vastaaja täysin kuitti?";172465
1;1639166199074;10/12/2021 19:56:39;1639166198976;2;10/12/2021 21:56:38;55551;22;questionnaire-81k4;;17928784;BLIND;5287907;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Safari 13.1.2;1920x1080;1324x994;Openminded Chunk;Validity check self report (Finnish);5;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;50829
1;1639029843040;09/12/2021 06:04:03;1639029842982;2;09/12/2021 08:04:02;55551;22;questionnaire-81k4;;17872555;BLIND;5258209;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 94.0;1920x1080;1920x955;Openminded Chunk;Validity check self report (Finnish);5;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;73017
1;1638364305412;01/12/2021 13:11:45;1638364303548;2;01/12/2021 15:11:43;55551;22;questionnaire-81k4;;17621938;BLIND;5202064;;complete;;;computer;Desktop or Laptop;Windows 7;Chrome 96.0.4664.45;1280x1024;1280x881;Openminded Chunk;Validity check self report (Finnish);5;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;11055
1;1638354344073;01/12/2021 10:25:44;1638354343919;2;01/12/2021 12:25:43;55551;22;questionnaire-81k4;;17613715;BLIND;5201242;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 94.0;1920x1080;1920x909;Openminded Chunk;Validity check self report (Finnish);5;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;Jouduin vastaamaan puhelimeen yhdessä välilyönnin napsuttelukohdassa, joten se taisi keskeytyä.;47815
1;1638276770468;30/11/2021 12:52:50;1638276788665;2;30/11/2021 14:53:08;55551;22;questionnaire-81k4;;17587216;BLIND;5192188;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 94.0;1600x900;1384x775;Openminded Chunk;Validity check self report (Finnish);5;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;26884
