Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;Array;Answer;Practice_Array
377;1641970145431;12/01/2022 06:49:05;1641970145404;2;12/01/2022 08:49:05;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;296;331;1;Screen 1;advancementZone;response_keyboard_single;432.30000000074506;;;Go;1;1;0;0;;;;;2;Trials;H.png;Go;
378;1641970147017;12/01/2022 06:49:07;1641970146971;2;12/01/2022 08:49:06;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;347;332;1;Screen 1;content;gonogo;1000.375;;;No Go;;1;0;0;;;;;2;Trials;N.png;No Go;
379;1641970147516;12/01/2022 06:49:07;1641970147485;2;12/01/2022 08:49:07;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;192;333;1;Screen 1;advancementZone;response_keyboard_single;508.6000000005588;;;Go;1;1;0;0;;;;;2;Trials;T.png;Go;
380;1641970148716;12/01/2022 06:49:08;1641970148677;2;12/01/2022 08:49:08;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;212;334;1;Screen 1;advancementZone;response_keyboard_single;702.5;;;Go;1;1;0;0;;;;;2;Trials;H.png;Go;
381;1641970149596;12/01/2022 06:49:09;1641970149557;2;12/01/2022 08:49:09;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;159;335;1;Screen 1;advancementZone;response_keyboard_single;580.5999999996275;;;Go;1;1;0;0;;;;;2;Trials;T.png;Go;
382;1641970150617;12/01/2022 06:49:10;1641970150573;2;12/01/2022 08:49:10;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;321;336;1;Screen 1;advancementZone;response_keyboard_single;595.4000000003725;;;Go;1;1;0;0;;;;;2;Trials;H.png;Go;
383;1641970151999;12/01/2022 06:49:11;1641970151973;2;12/01/2022 08:49:11;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;419;337;1;Screen 1;content;gonogo;1000.905999999959;;;No Go;;1;0;0;;;;;2;Trials;N.png;No Go;
384;1641970152652;12/01/2022 06:49:12;1641970152613;2;12/01/2022 08:49:12;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;404;338;1;Screen 1;advancementZone;response_keyboard_single;633.7999999998137;;;Go;1;0;1;0;;;;;2;Trials;N.png;No Go;
385;1641970153534;12/01/2022 06:49:13;1641970153501;2;12/01/2022 08:49:13;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;336;339;1;Screen 1;advancementZone;response_keyboard_single;520.7999999998137;;;Go;1;1;0;0;;;;;2;Trials;H.png;Go;
386;1641970155012;12/01/2022 06:49:15;1641970154977;2;12/01/2022 08:49:14;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;430;340;1;Screen 1;content;gonogo;1000.8979999999283;;;No Go;;1;0;0;;;;;2;Trials;N.png;No Go;
387;1641970155596;12/01/2022 06:49:15;1641970155557;2;12/01/2022 08:49:15;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;240;341;1;Screen 1;advancementZone;response_keyboard_single;573.7000000001863;;;Go;1;1;0;0;;;;;2;Trials;H.png;Go;
388;1641970157028;12/01/2022 06:49:17;1641970156977;2;12/01/2022 08:49:16;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;356;342;1;Screen 1;content;gonogo;1000.686999999918;;;No Go;;1;0;0;;;;;2;Trials;N.png;No Go;
389;1641970157584;12/01/2022 06:49:17;1641970157549;2;12/01/2022 08:49:17;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;241;343;1;Screen 1;advancementZone;response_keyboard_single;566.5999999996275;;;Go;1;1;0;0;;;;;2;Trials;H.png;Go;
390;1641970158662;12/01/2022 06:49:18;1641970158621;2;12/01/2022 08:49:18;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;166;344;1;Screen 1;advancementZone;response_keyboard_single;636.7000000001863;;;Go;1;1;0;0;;;;;2;Trials;T.png;Go;
391;1641970159630;12/01/2022 06:49:19;1641970159589;2;12/01/2022 08:49:19;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;175;345;1;Screen 1;advancementZone;response_keyboard_single;604;;;Go;1;1;0;0;;;;;2;Trials;T.png;Go;
