Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;sc-1;sc-1-text;sc-1-quantised;sc-2;sc-2-text;sc-2-quantised;sc-3;sc-3-text;sc-3-quantised;sc-4;sc-4-text;sc-4-quantised;END QUESTIONNAIRE
1;1639592273755;15/12/2021 18:17:53;1639592273817;2;15/12/2021 20:17:53;55551;22;questionnaire-go4a;;18030046;BLIND;5320807;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1920x1080;1920x899;Openminded Chunk;Science Curiosity Scale (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kahdesti vuodessa;;3;Yhtä;;2;Samaa mieltä;;4;Samaa mieltä;;4;42494
1;1639583718960;15/12/2021 15:55:18;1639583719037;2;15/12/2021 17:55:19;55551;22;questionnaire-go4a;;18022236;BLIND;5317567;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.93;1920x1080;1920x937;Reasoning Chunk;Science Curiosity Scale (Finnish);7;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;;No;Kahdesti vuodessa;;3;Yhtä;;2;Samaa mieltä;;4;Ei eri eikä samaa mieltä;;3;75429
1;1639470751879;14/12/2021 08:32:31;1639470751594;2;14/12/2021 10:32:31;55551;22;questionnaire-go4a;;17984073;BLIND;5305503;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1024x576;1024x474;Openminded Chunk;Science Curiosity Scale (Finnish);7;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3-4 kertaa vuodessa;;4;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;47517
1;1639396286673;13/12/2021 11:51:26;1639396286600;1;13/12/2021 12:51:26;55551;22;questionnaire-go4a;;17964329;BLIND;5298015;;complete;;;computer;Desktop or Laptop;Linux x86_64;Chrome 96.0.4664.93;1920x1080;1920x924;Openminded Chunk;Science Curiosity Scale (Finnish);7;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Yli 5 kertaa vuodessa;;5;Kahta;;3;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;103208
1;1639242427908;11/12/2021 17:07:07;1639242427498;2;11/12/2021 19:07:07;55551;22;questionnaire-go4a;;17942325;BLIND;5292007;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1920x1080;960x485;Openminded Chunk;Science Curiosity Scale (Finnish);7;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3-4 kertaa vuodessa;;4;Yhtä;;2;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;56721
1;1639211665837;11/12/2021 08:34:25;1639211662430;2;11/12/2021 10:34:22;55551;22;questionnaire-go4a;;17936913;BLIND;5290491;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.93;1536x864;1536x714;Openminded Chunk;Science Curiosity Scale (Finnish);7;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3-4 kertaa vuodessa;;4;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Samaa mieltä;;4;26774
1;1639164676671;10/12/2021 19:31:16;1639164676576;2;10/12/2021 21:31:16;55551;22;questionnaire-go4a;;17928378;BLIND;5287907;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Safari 13.1.2;1920x1080;1324x994;Openminded Chunk;Science Curiosity Scale (Finnish);7;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kahdesti vuodessa;;3;Kolmea tai neljää;;4;Samaa mieltä;;4;Samaa mieltä;;4;116538
1;1639133957781;10/12/2021 10:59:17;1639133957689;2;10/12/2021 12:59:17;55551;22;questionnaire-go4a;;17909924;BLIND;5282634;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.93;1536x864;1536x754;Reasoning Chunk;Science Curiosity Scale (Finnish);7;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;;No;Kahdesti vuodessa;;3;Kolmea tai neljää;;4;Samaa mieltä;;4;Samaa mieltä;;4;27157
1;1638963687895;08/12/2021 11:41:27;1638963687795;2;08/12/2021 13:41:27;55551;22;questionnaire-go4a;;17840669;BLIND;5258209;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 94.0;1920x1080;1920x955;Openminded Chunk;Science Curiosity Scale (Finnish);7;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kahdesti vuodessa;;3;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;42211
1;1638362389094;01/12/2021 12:39:49;1638362387265;2;01/12/2021 14:39:47;55551;22;questionnaire-go4a;;17620035;BLIND;5202064;;complete;;;computer;Desktop or Laptop;Windows 7;Chrome 96.0.4664.45;1280x1024;1280x881;Openminded Chunk;Science Curiosity Scale (Finnish);7;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kahdesti vuodessa;;3;Kolmea tai neljää;;4;Samaa mieltä;;4;Samaa mieltä;;4;35995
1;1638349036516;01/12/2021 08:57:16;1638349036341;2;01/12/2021 10:57:16;55551;22;questionnaire-go4a;;17611325;BLIND;5201242;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 94.0;1920x1080;1920x909;Openminded Chunk;Science Curiosity Scale (Finnish);7;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Yli 5 kertaa vuodessa;;5;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;20286
1;1638273652258;30/11/2021 12:00:52;1638273670710;2;30/11/2021 14:01:10;55551;22;questionnaire-go4a;;17584542;BLIND;5192188;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 94.0;1600x900;1384x775;Openminded Chunk;Science Curiosity Scale (Finnish);7;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kahdesti vuodessa;;3;Viittä tai enemmän;;5;Samaa mieltä;;4;Ei eri eikä samaa mieltä;;3;69873
1;1638267442081;30/11/2021 10:17:22;1638267532356;2;30/11/2021 12:18:52;55551;22;questionnaire-go4a;;17581009;BLIND;5191578;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1920x1080;1920x937;Openminded Chunk;Science Curiosity Scale (Finnish);7;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Samaa mieltä;;4;94529
1;1638229352146;29/11/2021 23:42:32;1638229352021;2;30/11/2021 01:42:32;55551;22;questionnaire-go4a;;17573549;BLIND;5189349;;live;;;computer;Desktop or Laptop;Ubuntu undefined;Firefox 94.0;1344x756;1100x608;Openminded Chunk;Science Curiosity Scale (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Kolmea tai neljää;;4;Täysin samaa mieltä;;5;Samaa mieltä;;4;107390
1;1638046873210;27/11/2021 21:01:13;1638046873988;2;27/11/2021 23:01:13;55551;22;questionnaire-go4a;;17526698;BLIND;5175309;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1280x720;1280x577;Openminded Chunk;Science Curiosity Scale (Finnish);7;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Viittä tai enemmän;;5;Samaa mieltä;;4;Ei eri eikä samaa mieltä;;3;25167
1;1637864537608;25/11/2021 18:22:17;1637864537345;2;25/11/2021 20:22:17;55551;22;questionnaire-go4a;;17487501;BLIND;5156990;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 94.0;1280x720;1280x577;Openminded Chunk;Science Curiosity Scale (Finnish);7;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kahdesti vuodessa;;3;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Samaa mieltä;;4;93477
1;1637664888166;23/11/2021 10:54:48;1637664887813;2;23/11/2021 12:54:47;55551;22;questionnaire-go4a;;17400299;BLIND;5133586;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.0;1280x800;1280x712;Openminded Chunk;Science Curiosity Scale (Finnish);7;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Viittä tai enemmän;;5;Samaa mieltä;;4;Eri mieltä;;2;58731
1;1637660275347;23/11/2021 09:37:55;1637660275276;2;23/11/2021 11:37:55;55551;22;questionnaire-go4a;;17397632;BLIND;5133207;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Chrome 94.0.4606.81;1920x1080;1842x680;Openminded Chunk;Science Curiosity Scale (Finnish);7;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Yli 5 kertaa vuodessa;;5;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Samaa mieltä;;4;38835
1;1637657416852;23/11/2021 08:50:16;1637657417085;2;23/11/2021 10:50:17;55551;22;questionnaire-go4a;;17395901;BLIND;5132910;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 95.0.4638.69;1280x720;1280x520;Openminded Chunk;Science Curiosity Scale (Finnish);7;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3-4 kertaa vuodessa;;4;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Eri mieltä;;2;155472
1;1637620222921;22/11/2021 22:30:22;1637620222523;2;23/11/2021 00:30:22;55551;22;questionnaire-go4a;;17390921;BLIND;5130877;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1920x1080;1920x937;Openminded Chunk;Science Curiosity Scale (Finnish);7;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;Kahta;;3;Samaa mieltä;;4;Samaa mieltä;;4;35032
1;1637596048936;22/11/2021 15:47:28;1637596049319;2;22/11/2021 17:47:29;55551;22;questionnaire-go4a;;17378323;BLIND;5126869;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1536x864;1536x722;Openminded Chunk;Science Curiosity Scale (Finnish);7;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kahdesti vuodessa;;3;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Samaa mieltä;;4;21632
1;1637501829044;21/11/2021 13:37:09;1637501827635;2;21/11/2021 15:37:07;55551;22;questionnaire-go4a;;17351337;BLIND;5120203;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 94.0;1280x720;1280x605;Openminded Chunk;Science Curiosity Scale (Finnish);7;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3-4 kertaa vuodessa;;4;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;155510
1;1637431368634;20/11/2021 18:02:48;1637431368557;2;20/11/2021 20:02:48;55551;22;questionnaire-go4a;;17341992;BLIND;5117494;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 96.0.4664.55;2048x1152;1540x838;Reasoning Chunk;Science Curiosity Scale (Finnish);7;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;;No;Kerran vuodessa;;2;Kolmea tai neljää;;4;Täysin samaa mieltä;;5;Samaa mieltä;;4;49411
1;1637330500686;19/11/2021 14:01:40;1637330500583;2;19/11/2021 16:01:40;55551;22;questionnaire-go4a;;17314374;BLIND;5110749;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.6;Chrome 96.0.4664.45;1440x900;1152x613;Openminded Chunk;Science Curiosity Scale (Finnish);7;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Kolmea tai neljää;;4;Samaa mieltä;;4;Samaa mieltä;;4;34410
1;1636024015698;04/11/2021 11:06:55;1636024015787;2;04/11/2021 13:06:55;55551;22;questionnaire-go4a;;16878719;BLIND;4995455;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 95.0.4638.54;1280x720;1280x577;Science Chunk;Science Curiosity Scale (Finnish);7;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;;;No;Kahdesti vuodessa;;3;Kolmea tai neljää;;4;Täysin samaa mieltä;;5;Samaa mieltä;;4;128637
1;1635938703607;03/11/2021 11:25:03;1635938703410;2;03/11/2021 13:25:03;55551;22;questionnaire-go4a;;16849873;BLIND;4986367;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 93.0;1920x1080;1829x967;Openminded Chunk;Science Curiosity Scale (Finnish);7;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;Kahta;;3;Samaa mieltä;;4;Samaa mieltä;;4;50662
1;1635858842996;02/11/2021 13:14:02;1635858842086;1;02/11/2021 14:14:02;55551;22;questionnaire-go4a;;16829395;BLIND;4978306;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 95.0.4638.69;1536x864;1442x712;Openminded Chunk;Science Curiosity Scale (Finnish);7;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;Kolmea tai neljää;;4;Täysin samaa mieltä;;5;Samaa mieltä;;4;32254
1;1635530154820;29/10/2021 17:55:54;1635530154527;3;29/10/2021 20:55:54;55551;22;questionnaire-go4a;;16777160;BLIND;4959547;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 95.0.4638.54;1536x864;1536x722;Openminded Chunk;Science Curiosity Scale (Finnish);7;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Samaa mieltä;;4;50070
1;1635512552346;29/10/2021 13:02:32;1635512552446;3;29/10/2021 16:02:32;55551;22;questionnaire-go4a;;16771588;BLIND;4960307;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 95.0.4638.69;1280x720;1280x577;Reasoning Chunk;Science Curiosity Scale (Finnish);7;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;;No;Kerran vuodessa;;2;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Samaa mieltä;;4;30093
1;1635504379286;29/10/2021 10:46:19;1635504379465;3;29/10/2021 13:46:19;55551;22;questionnaire-go4a;;16768980;BLIND;4959255;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1280x720;1422x641;Openminded Chunk;Science Curiosity Scale (Finnish);7;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Ei eri eikä samaa mieltä;;3;54175
