"AMean","CMean","EMean","ESMean","OMean","ICuriositySum","DCuriositySum","IH1Sum","IH2Sum","IH3Sum","IH4Sum","CloSum","CogSum","AOTSum","HEscore","HRscore","RPSum","sci_cur","sci_tru","sci_impo","sci_id","MatrixCorrectCount","GNGdprime","GNGbetalog","MeanGoRT","SDGoRTlog","GlobalToLocalInterferencelog","GlobalToLocalPrecedencelog","NeckerTotalRatelog","FlexSum"
2.5,7,2,6,5.5,22,16,24,22,20,13,57,81,47,0,0,3,14,16,19,19,8,3.91694812898018,-1.66327252598392,379.757000001669,1.77435743692256,0.51245108361101,0.0735317680261577,-0.0222763947111523,29.5
5.5,3.5,6,3,4,18,15,20,22,23,17,55,79,41,1,1,3,12,15,18,18,8,3.12430051626825,-1.37698818616315,369.391304347826,1.78321542743308,0.481958357398924,0.0693115569932837,-0.144682794804057,31.5
5.5,4.5,5.5,3,4.5,17,17,17,20,21,15,50,72,35,0,0,0,14,16,17,15,2,1.9279548028628,-0.419702042684318,483.900000000532,2.17461791228127,0.473666752383886,0.0866681120758703,-0.165367393663908,25
5,1.5,2,2,5,19,15,5,21,17,21,80,44,44,1,1,3,14,16,20,16,7,1.68088307007633,-0.971603300371667,322.344290660327,1.87471604308525,0.51440876809423,0.0805891191956565,-0.221848749616356,27
5.5,2.5,7,3,6,21,14,11,17,23,19,42,64,42,0,1,3,16,16,17,18,9,2.64598531347935,-1.23211308794461,376.427181210694,1.86702421312688,0.454647667630944,0.0919237481469294,-0.198367653766833,27
6,6,2,5,4,21,18,21,21,22,22,52,85,44,0,1,3,10,14,17,18,5,1.92828416452793,-0.53235911122071,358.374558303887,1.88375007370551,0.446386806866516,0.0902108992398401,-0.234083206033368,16
4,5,3.5,4,7,25,18,19,20,24,17,40,92,42,0,1,2,15,13,15,19,6,3.13609941324946,-1.86345131235516,330.39096989839,1.74066019869721,0.470953307152645,0.0847909633138221,-0.165367393663908,42
5,4,3,6,5.5,21,20,20,20,17,15,52,83,36,0,1,3,13,18,16,16,7,1.50356850680625,-0.722561487907428,356.939929328622,1.92926262394313,0.488278791587745,0.0791593075061756,-0.176091259055681,25
6,5,4,4,6.5,20,17,15,22,16,17,61,77,48,1,1,2,13,15,16,14,5,1.95076110000113,-0.480565930847277,428.409608525314,2.06991726786475,0.473394416288213,0.0873692385979041,-0.301029995663981,42
4,3.5,4,3,5.5,24,18,17,25,16,20,52,88,48,1,0,3,19,16,20,17,5,2.39665723810494,-0.794233215379214,446.458620689655,2.00052202839745,0.242471452414917,0.154138034150031,-0.134698573897456,28
4,5,5,6,6,23,22,18,23,25,20,57,78,43,0,1,2,17,16,15,15,8,3.13609941324946,-1.86345131235516,395.729666665594,1.9063344208934,0.39309624908516,0.115439251281615,-0.165367393663908,52.5
5.5,6,5,6,5.5,21,14,15,20,20,16,46,85,45,0,1,3,13,16,16,17,6,2.72684951549296,-0.861413403528485,361.257044673504,1.86379086058171,0.470049586175927,0.0691688294544036,-0.1249387366083,38
