Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;Icuriosity1;Icuriosity1-quantised;Dcuriosity1;Dcuriosity1-quantised;Icuriosity2;Icuriosity2-quantised;Dcuriosity2;Dcuriosity2-quantised;Icuriosity3;Icuriosity3-quantised;Dcuriosity3;Dcuriosity3-quantised;Icuriosity4;Icuriosity4-quantised;Dcuriosity4;Dcuriosity4-quantised;Icuriosity5;Icuriosity5-quantised;Dcuriosity5;Dcuriosity5-quantised;END QUESTIONNAIRE
1;1643698989612;01/02/2022 07:03:09;1643698989498;2;01/02/2022 09:03:09;55551;25;questionnaire-2wlk;;19045931;BLIND;5641501;;complete;;;computer;Desktop or Laptop;Linux x86_64;Firefox 91.0;1920x1080;1920x897;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;2;2;5;5;4;4;5;5;5;5;4;4;4;4;4;4;5;5;22477
1;1643734207546;01/02/2022 16:50:07;1643734208712;2;01/02/2022 18:50:08;55551;25;questionnaire-2wlk;;19062245;BLIND;5645930;;complete;;;computer;Desktop or Laptop;Windows 7;Chrome 97.0.4692.99;1920x1080;1920x969;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;1;1;5;5;3;3;5;5;3;3;5;5;5;5;5;5;3;3;44557
1;1643754413480;01/02/2022 22:26:53;1643754413381;1;01/02/2022 23:26:53;55551;25;questionnaire-2wlk;;19071196;BLIND;5649003;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1280x720;1280x577;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;5;5;5;5;2;2;5;5;1;1;5;5;2;2;4;4;3;3;27042
1;1643795008070;02/02/2022 09:43:28;1643795008007;2;02/02/2022 11:43:28;55551;25;questionnaire-2wlk;;19076552;BLIND;5650356;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1024x476;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;3;3;5;5;4;4;5;5;2;2;4;4;4;4;4;4;3;3;29981
1;1643809084710;02/02/2022 13:38:04;1643809084232;2;02/02/2022 15:38:04;55551;25;questionnaire-2wlk;;19086571;BLIND;5653211;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1280x720;1280x609;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;4;4;3;3;5;5;4;4;5;5;4;4;4;4;3;3;51650
1;1643809969901;02/02/2022 13:52:49;1643809969307;2;02/02/2022 15:52:49;55551;25;questionnaire-2wlk;;19087509;BLIND;5653192;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;1280x720;1096x593;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;1;1;4;4;1;1;3;3;1;1;3;3;3;3;1;1;4;4;80336
1;1643842599181;02/02/2022 22:56:39;1643842598256;2;03/02/2022 00:56:38;55551;25;questionnaire-2wlk;;19109791;BLIND;5659605;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;1366x768;1366x587;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;2;2;5;5;2;2;5;5;2;2;5;5;5;5;3;3;4;4;91568
1;1643893385090;03/02/2022 13:03:05;1643893385500;2;03/02/2022 15:03:05;55551;25;questionnaire-2wlk;;19126692;BLIND;5664543;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1313x739;1314x635;Science Chunk;Epistemic Curiosity Scale (Finnish);5;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;;;No;3;3;2;2;4;4;3;3;5;5;3;3;3;3;3;3;3;3;3;3;98593
1;1643963962135;04/02/2022 08:39:22;1643963961156;2;04/02/2022 10:39:21;55551;25;questionnaire-2wlk;;19155437;BLIND;5676387;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1920x1080;1920x890;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;1;1;5;5;1;1;5;5;2;2;5;5;4;4;5;5;5;5;85554
1;1643986053768;04/02/2022 14:47:33;1643986053681;2;04/02/2022 16:47:33;55551;25;questionnaire-2wlk;;19166948;BLIND;5679394;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 98.0.4758.80;1440x900;1440x789;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;2;2;5;5;3;3;5;5;3;3;4;4;4;4;4;4;4;4;43806
