Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;extroversionNormal;extroversionNormal-quantised;agreeablenessReverse;agreeablenessReverse-quantised;conscientiousnessNormal;conscientiousnessNormal-quantised;emotionalStabilityReverse;emotionalStabilityReverse-quantised;opennessNormal;opennessNormal-quantised;extroversionReverse;extroversionReverse-quantised;agreeablenessNormal;agreeablenessNormal-quantised;conscientiousnessReverse;conscientiousnessReverse-quantised;emotionalStabilityNormal;emotionalStabilityNormal-quantised;opennessReverse;opennessReverse-quantised;END QUESTIONNAIRE
1;1644074607295;05/02/2022 15:23:27;1644074607220;2;05/02/2022 17:23:27;55551;25;questionnaire-w8n1;;19196790;BLIND;5688370;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;1280x800;1280x634;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;7;7;2;2;6;6;3;3;4;4;2;2;7;7;2;2;105968
1;1644071363203;05/02/2022 14:29:23;1644070788845;2;05/02/2022 16:19:48;55551;25;questionnaire-w8n1;;19195652;BLIND;5687746;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1280x720;1202x618;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;2;2;7;7;1;1;7;7;3;3;6;6;2;2;7;7;2;2;73869
1;1644060131182;05/02/2022 11:22:11;1644060132000;2;05/02/2022 13:22:12;55551;25;questionnaire-w8n1;;19190400;BLIND;5687135;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1280x720;1280x552;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;5;5;4;4;5;5;6;6;3;3;5;5;5;5;4;4;2;2;88870
1;1644018446763;04/02/2022 23:47:26;1644018446672;2;05/02/2022 01:47:26;55551;25;questionnaire-w8n1;;19184829;BLIND;5686104;;complete;;;computer;Desktop or Laptop;Linux x86_64;Chrome 98.0.4758.80;1920x1080;1351x895;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;5;5;4;4;3;3;5;5;4;4;4;4;5;5;5;5;4;4;40534
1;1643986564754;04/02/2022 14:56:04;1643986564653;2;04/02/2022 16:56:04;55551;25;questionnaire-w8n1;;19167268;BLIND;5679394;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 98.0.4758.80;1440x900;1440x789;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;4;4;3;3;6;6;6;6;6;6;5;5;3;3;3;3;4;4;54232
1;1643846926112;03/02/2022 00:08:46;1643846925053;2;03/02/2022 02:08:45;55551;25;questionnaire-w8n1;;19113481;BLIND;5659605;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;1366x768;1366x587;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;2;2;6;6;5;5;5;5;6;6;6;6;6;6;5;5;2;2;167937
1;1643811607990;02/02/2022 14:20:07;1643811607407;2;02/02/2022 16:20:07;55551;25;questionnaire-w8n1;;19090275;BLIND;5653192;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;1280x720;1096x593;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;3;3;4;4;3;3;3;3;6;6;3;3;5;5;6;6;6;6;66843
1;1643809801377;02/02/2022 13:50:01;1643809800876;2;02/02/2022 15:50:00;55551;25;questionnaire-w8n1;;19087364;BLIND;5653211;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1280x720;1280x609;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;3;3;6;6;2;2;6;6;3;3;7;7;2;2;6;6;2;2;63582
1;1643794977264;02/02/2022 09:42:57;1643794977203;2;02/02/2022 11:42:57;55551;25;questionnaire-w8n1;;19076543;BLIND;5650356;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1024x476;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;2;2;5;5;3;3;6;6;3;3;6;6;2;2;6;6;3;3;29525
1;1643754116218;01/02/2022 22:21:56;1643754116132;1;01/02/2022 23:21:56;55551;25;questionnaire-w8n1;;19071105;BLIND;5649003;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1280x720;1280x577;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;2;2;4;4;3;3;5;5;5;5;4;4;5;5;6;6;5;5;39322
